draw,pearson_r,spearman_rho,cosine_similarity,sign_concordance,projection,frozen_score_log_hr
215,0.35159330782476694,0.2278260869565217,0.6846403344935762,0.7916666666666666,0.2974874544993467,0.1311243316328875
216,0.47832841336745224,0.4052173913043478,0.5635169948302691,0.5416666666666666,0.21234190703690556,0.09258653640152865
217,0.5007580095585684,0.42,0.7357159535478615,0.7916666666666666,0.3100755804796101,0.13713699648530983
218,-0.07994985794686782,-0.09391304347826085,0.442407337836903,0.75,0.16581167334176142,0.07270668694126083
219,0.4536851390052306,0.2617391304347826,0.7203249597724373,0.7916666666666666,0.2424090561871719,0.11087255707695516
220,0.5994151170649277,0.5234782608695652,0.8055404585326219,0.875,0.284719626614578,0.12782912457493656
221,0.3740874191192686,0.38869565217391305,0.5875373126231921,0.6666666666666666,0.1754666506764523,0.08247988339160571
222,0.5997593579382028,0.5313043478260869,0.4708772009413721,0.5833333333333334,0.11407585605881002,0.05312319876042684
223,0.49429556180447565,0.3313043478260869,0.7695088131345972,0.875,0.3252998738104083,0.14659469091845664
224,0.5034598832463967,0.2904347826086956,0.7169614420238671,0.7083333333333334,0.28069716549269164,0.12467161007007654
225,0.2875374344564508,0.2121739130434782,0.6653999246620584,0.8333333333333334,0.2833736575375481,0.12900761226105703
226,0.43471130400860064,0.2791304347826086,0.6416740880822616,0.625,0.23769606664956908,0.10339206896941823
227,0.494139717446923,0.33826086956521734,0.7613126196638087,0.8333333333333334,0.42318730471969507,0.18856664751234561
228,0.5974886833583193,0.4026086956521739,0.6081135803361267,0.5,0.18117100246580886,0.08042495924386746
229,0.3807809643625683,0.268695652173913,0.7203352367962512,0.8333333333333334,0.34185763054828255,0.15320846344254002
230,0.6696654389344836,0.5678260869565217,0.7710807499303566,0.625,0.2676227250372157,0.12172945038875745
231,0.5138456451825472,0.42956521739130427,0.7605245740389494,0.7916666666666666,0.3857817001960043,0.16814991914051983
232,0.6080467224343342,0.48086956521739127,0.7579094417764,0.6666666666666666,0.30448685294275485,0.13432563416679602
233,0.2690417074248417,0.23826086956521736,0.6245882374476743,0.7083333333333334,0.24648651560231696,0.11263067890264455
234,0.265836870437771,0.15130434782608695,0.6041924279921109,0.7083333333333334,0.2711715592003505,0.12317332329683023
235,0.5839296337337301,0.47478260869565214,0.5427404612687224,0.5416666666666666,0.1598768256731334,0.07037392214236236
236,0.5161225676330746,0.4060869565217391,0.7591462956300766,0.7083333333333334,0.33942919981676195,0.151702470540075
237,0.5712515578667905,0.31652173913043474,0.6802405711787388,0.5,0.16436234809632963,0.07647371045637257
238,0.5867529602361489,0.45739130434782604,0.735696130934599,0.6666666666666666,0.19787352679375242,0.09262367408679284
239,0.47503920590120796,0.3504347826086956,0.4610799679726171,0.5,0.08469424244313618,0.04055453858082639
240,0.3327408178246086,0.1652173913043478,0.6709099549381186,0.75,0.24633410522178814,0.11188510729817355
241,0.6209813445140034,0.437391304347826,0.7945289291356976,0.75,0.24302487224040994,0.11178269688741829
242,0.353747597374493,0.12869565217391304,0.5061270811814924,0.4583333333333333,0.09609220283258937,0.045950363139600305
243,0.6679382511267349,0.44434782608695644,0.8209253664259519,0.7916666666666666,0.25835358146178006,0.11511230078030467
244,0.26851980213866766,0.07913043478260869,0.6674840067145826,0.7916666666666666,0.2433884171647681,0.11193420697366656
245,0.560665607449935,0.34956521739130436,0.7902151895263733,0.7916666666666666,0.22062629174349963,0.10141691728011529
246,0.6385715245194625,0.5278260869565217,0.81585523404711,0.7916666666666666,0.334590085646163,0.1486833044302171
247,0.22741919108905617,0.09652173913043478,0.6250259350567838,0.7916666666666666,0.25325491179126275,0.1142832581131639
248,0.26913562065337504,0.15739130434782608,0.32263252103906176,0.5,0.07463418370463462,0.032250099215506776
249,0.5114639649798454,0.368695652173913,0.7342819084487343,0.6666666666666666,0.3084226295756899,0.1378338577180338
250,0.13355899320996034,0.08869565217391304,0.5897943346150225,0.75,0.22145025128272203,0.10245329395561756
251,0.4783427358018976,0.3565217391304348,0.7439876850567878,0.7916666666666666,0.286158008614688,0.12476022235253159
252,0.1251594217924263,0.06,0.44431631169694347,0.7083333333333334,0.16053131793663286,0.07015681801437014
253,0.5857555400199944,0.3530434782608695,0.7791877517439978,0.7916666666666666,0.3375009780973904,0.14594350369197043
254,0.5289948300235521,0.437391304347826,0.7638743290383683,0.8333333333333334,0.31650690988542185,0.14061675662888612
