feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,cohort,subgroup,analysis,bonferroni_alpha_24,bonferroni_significant,trim_lower,trim_upper
rs_diff_2_aVR,aVR,rs_diff_2,14447,536,1.0096075975243828,0.9288817291240999,1.0973490693375185,0.8220711969598435,0.8170222790834065,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_aVL,aVL,rs_diff,14447,536,0.9453159087255582,0.8550040693723143,1.0451671510121165,0.2723465037984875,0.8172212514076052,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_aVL,aVL,rs_diff_2,14447,536,0.9432845473685944,0.8468604739612389,1.0506875272408802,0.2885752463561429,0.8172005500737891,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_aVF,aVF,rs_diff,14447,536,0.9953314114504055,0.921969420230642,1.0745308866882204,0.9046482037731846,0.817029464670351,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_aVF,aVF,rs_diff_2,14447,536,0.9776684077948802,0.899945653860683,1.0621035964779995,0.5930850559550622,0.8171044000770569,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V1,V1,rs_diff,14447,536,0.8851167357387779,0.8151742161179311,0.9610603726106208,0.0036650167911408634,0.8186450241350178,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_V1,V1,rs_diff_2,14447,536,0.9093744781558759,0.8265901307706865,1.000449812714602,0.05108923878341262,0.8181589705038499,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V2,V2,rs_diff,14447,536,0.8831345812134747,0.8182355320114262,0.9531811538639072,0.0014165834405408043,0.8188655532200497,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,True,,
rs_diff_2_V2,V2,rs_diff_2,14447,536,0.9333703656327139,0.8558936546053584,1.017860378744175,0.11886219390675778,0.8176681264813858,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V3,V3,rs_diff,14447,536,0.9212472319593179,0.8537869868560558,0.9940377113475393,0.03450750073867334,0.8179478511160072,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
