lead,time_ms,score_group,median_normalized_amplitude,q25_normalized_amplitude,q75_normalized_amplitude,n_waveforms
V2,-277.5,Lower quintile,0.5718933025478258,0.3955669275956989,0.7062901347182082,323
V2,-275.0,Lower quintile,0.57316074405516,0.39669879873823916,0.7037278707096815,323
V2,-272.5,Lower quintile,0.5660611835633768,0.3960353687820075,0.7030003195365557,323
V2,-270.0,Lower quintile,0.5678490471436642,0.3938176685522843,0.7021905247319729,323
V2,-267.5,Lower quintile,0.5659781615953464,0.3973955398365202,0.7072787909704445,323
V2,-265.0,Lower quintile,0.5724615562426051,0.39956859913855924,0.7067337221430159,323
V2,-262.5,Lower quintile,0.5745538444668198,0.4011113354964557,0.7053182987316389,323
V2,-260.0,Lower quintile,0.5707408947331237,0.39413434467767694,0.7117698513555568,323
V2,-257.5,Lower quintile,0.5738344220444124,0.3932916405134488,0.7100091583729646,323
V2,-255.0,Lower quintile,0.5740838286371482,0.39663459342758073,0.7030059083619098,323
V2,-252.5,Lower quintile,0.5723748194336118,0.39686250548489427,0.7038856196380487,323
V2,-250.0,Lower quintile,0.5690069365770286,0.40409710874811144,0.7017519760851643,323
V2,-247.5,Lower quintile,0.574875252638083,0.3960139205214882,0.7005887671992477,323
V2,-245.0,Lower quintile,0.5756588531811286,0.3955632886694631,0.7019351243428991,323
V2,-242.5,Lower quintile,0.5712628916194388,0.3994363713614073,0.7022625017896098,323
V2,-240.0,Lower quintile,0.574028292861926,0.40025539295389695,0.7021688646423422,323
V2,-237.5,Lower quintile,0.5716829856366538,0.3942506560458051,0.7066519309782795,323
V2,-235.0,Lower quintile,0.5749572830231728,0.3994317421481113,0.7087055408497138,323
V2,-232.5,Lower quintile,0.5720112390894785,0.39692088479260274,0.7070348288212974,323
V2,-230.0,Lower quintile,0.5753596660719729,0.39392165072426233,0.7050230328907509,323
V2,-227.5,Lower quintile,0.5681969674273901,0.39216679094317153,0.701455433676653,323
V2,-225.0,Lower quintile,0.5716539521531793,0.3946697585424947,0.7045057918205828,323
V2,-222.5,Lower quintile,0.568224870597598,0.3941856327338502,0.7006252953325505,323
V2,-220.0,Lower quintile,0.572905926343099,0.3939503026395248,0.7017982713560025,323
V2,-217.5,Lower quintile,0.5868225054059887,0.3978848748475972,0.7113872368869951,323
V2,-215.0,Lower quintile,0.5825475591798617,0.39769357246364034,0.7139229131141672,323
V2,-212.5,Lower quintile,0.5904174612901409,0.40477303910445805,0.7125136806256085,323
V2,-210.0,Lower quintile,0.5902588264106576,0.40311334060719883,0.7138640121359274,323
V2,-207.5,Lower quintile,0.5904914714030937,0.40369590696070695,0.7138849679733987,323
V2,-205.0,Lower quintile,0.5919876042443412,0.4028715687056954,0.7096636925068389,323
V2,-202.5,Lower quintile,0.5926922314424624,0.40310513665983216,0.704412108775178,323
V2,-200.0,Lower quintile,0.5820981309410753,0.4049866890897075,0.7085216376187498,323
V2,-197.5,Lower quintile,0.5780672396476306,0.40528563205980506,0.7109294473095646,323
V2,-195.0,Lower quintile,0.5761046761988672,0.40344098737241485,0.7102416333184698,323
V2,-192.5,Lower quintile,0.5791023884173586,0.4101344784708678,0.7116628969625447,323
V2,-190.0,Lower quintile,0.5795548347558359,0.40879136937314386,0.7142449991001019,323
V2,-187.5,Lower quintile,0.5769031384701793,0.4094490404111025,0.7111939693772413,323
V2,-185.0,Lower quintile,0.586715747162163,0.4096159730455071,0.7098378230809095,323
V2,-182.5,Lower quintile,0.5834091194894178,0.41191172660310005,0.7074901524377784,323
V2,-180.0,Lower quintile,0.5725327693413613,0.40999394087033875,0.7064692992342698,323
V2,-177.5,Lower quintile,0.5792701450060523,0.4072018143861518,0.710660312189954,323
V2,-175.0,Lower quintile,0.5791061692880907,0.40894128337902824,0.7123676584476601,323
V2,-172.5,Lower quintile,0.5829840053576723,0.41506106634890094,0.709626985909801,323
V2,-170.0,Lower quintile,0.5726343662954391,0.41714565700345707,0.7070026612359823,323
V2,-167.5,Lower quintile,0.5717322038274345,0.411424690652167,0.7057842629566013,323
V2,-165.0,Lower quintile,0.5703587931008696,0.4111444215174134,0.70702255717433,323
V2,-162.5,Lower quintile,0.5678622176813313,0.40936506120583627,0.7042117255921947,323
V2,-160.0,Lower quintile,0.5721406447676365,0.40362436869940643,0.7064474329720676,323
V2,-157.5,Lower quintile,0.570230529679098,0.41250886743178267,0.7054442950452665,323
V2,-155.0,Lower quintile,0.5669707534340958,0.4101015000603826,0.7051915897197865,323
V2,-152.5,Lower quintile,0.5601827120459262,0.4061735264539174,0.7078067290639183,323
V2,-150.0,Lower quintile,0.5635020703195602,0.39674479876096014,0.7066331911001795,323
V2,-147.5,Lower quintile,0.5618582135604777,0.3978762009124097,0.7089773782762648,323
V2,-145.0,Lower quintile,0.5569723246535568,0.40021531444844394,0.7039268228062088,323
V2,-142.5,Lower quintile,0.5608514354260078,0.3993074854044458,0.7062216283095742,323
V2,-140.0,Lower quintile,0.5599893785682871,0.40193116960576736,0.6990182815044382,323
V2,-137.5,Lower quintile,0.5593246602370826,0.39183211467281454,0.6979841730124354,323
V2,-135.0,Lower quintile,0.556409173107306,0.3928506987731645,0.6958442321754603,323
V2,-132.5,Lower quintile,0.554510517808818,0.3979525842713538,0.6974460609609696,323
V2,-130.0,Lower quintile,0.5532467213904295,0.38997710420089626,0.6901298680927461,323
V2,-127.5,Lower quintile,0.5497371374823771,0.38773489912351466,0.6882068597288862,323
V2,-125.0,Lower quintile,0.5483309643572057,0.3954474231796338,0.6863523168948047,323
V2,-122.5,Lower quintile,0.5471782350806965,0.3901340356573928,0.682658294861757,323
V2,-120.0,Lower quintile,0.5433573949581805,0.38766672928923296,0.6847078214946956,323
V2,-117.5,Lower quintile,0.5436783039838163,0.3912535600481031,0.6876835996724404,323
V2,-115.0,Lower quintile,0.5422207620759731,0.3866532781512839,0.6844239545808684,323
V2,-112.5,Lower quintile,0.5362110511584903,0.3810457430830791,0.6868187076003375,323
V2,-110.0,Lower quintile,0.5396171256054108,0.38100098065807997,0.6883405836668985,323
V2,-107.5,Lower quintile,0.536621408870009,0.38227881638696515,0.6909231269066811,323
V2,-105.0,Lower quintile,0.5355011137938098,0.3744863925194162,0.6899321587002226,323
V2,-102.5,Lower quintile,0.5373298983311705,0.37484455491700597,0.6886262201260362,323
V2,-100.0,Lower quintile,0.5371011208161104,0.3761717345705441,0.6869007388200248,323
V2,-97.5,Lower quintile,0.5350341679162797,0.37616707092589774,0.6861308855383392,323
V2,-95.0,Lower quintile,0.538396550812144,0.3800064997459393,0.6864056663402115,323
V2,-92.5,Lower quintile,0.5384681803359337,0.377376151849643,0.68536837464714,323
V2,-90.0,Lower quintile,0.5354276150656575,0.3797806932547569,0.682194558961732,323
V2,-87.5,Lower quintile,0.5401712987810914,0.37765020205538574,0.6840501706856621,323
V2,-85.0,Lower quintile,0.533470232132521,0.3776966198594728,0.6889143793746324,323
V2,-82.5,Lower quintile,0.5353019731121458,0.38264147289123907,0.6861680925042664,323
